Waterbody Name,Waterbody ID Code (WBIC),Invasive Species
North Fork Wood River,2647000,"Phragmites (non-native), Rusty Crayfish"
Pike Lake,2489500,Chinese Mystery Snail
Point Lake,2490900,"Banded Mystery Snail, Chinese Mystery Snail"
Pokegama Lake,2657200,Curly-Leaf Pondweed
Poquettes Lake,2491100,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
Rice Lake,2677900,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
Robie Lake,2671500,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Rooney Lake,2493100,"Chinese Mystery Snail, Purple Loosestrife"
Round Lake,2493700,Chinese Mystery Snail
Round Lake,2640100,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife"
Saint Croix River,2601400,"Purple Loosestrife, Yellow Iris"
Sand Lake,2495100,"Chinese Mystery Snail, Purple Loosestrife"
Shallow Lake,1880600,"Chinese Mystery Snail, Eurasian Water-Milfoil"
Spirit Creek,2649900,"Banded Mystery Snail, Chinese Mystery Snail"
Spirit Lake,2650300,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Spring Lake,2664100,Purple Loosestrife
Tabor Lake,2671700,"Chinese Mystery Snail, Curly-Leaf Pondweed, Japanese knotweed (Fallopia japonica)"
Trade River,2636000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Twentysix Lake,2672500,Chinese Mystery Snail
Unnamed,2568800,Purple Loosestrife
Unnamed,2638300,"Curly-Leaf Pondweed, Purple Loosestrife"
Unnamed,2656300,Curly-Leaf Pondweed
Unnamed,2678000,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Unnamed,5003363,Chinese Mystery Snail
Unnamed,5004442,Purple Loosestrife
Unnamed,5507972,Banded Mystery Snail
Unnamed,5508662,Banded Mystery Snail
Unnamed,5508696,Banded Mystery Snail
Unnamed,5508777,Banded Mystery Snail
Unnamed,5508922,Banded Mystery Snail
Viola Lake,2598600,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Warner Lake,2677200,"Chinese Mystery Snail, Purple Loosestrife"
